Col,Dx,Dy,Dz
58, -6.9947856665e-07, -9.57505692589e-06, -8.79669244401e-06
59, 1.8634923705e-05, -8.28561157136e-06, -1.32411073094e-05
60, 0.000201722526842, -4.22653842916e-05, -0.000294957682128
61, 1.69789169425e-05, -1.50452908874e-06, -1.05024624369e-05
62, -7.44122411652e-06, -1.91840128823e-05, -7.5958412578e-06
63, 1.63867238488e-05, -1.3002632011e-05, -1.70422755783e-05
64, 1.82477144385e-05, -1.21134853931e-05, -2.23149799317e-05
65, 2.11588215331e-05, -1.30640779123e-05, -1.3619733632e-05
66, 1.62455400881e-05, -8.4767869948e-06, -1.87450045651e-05
67, 1.52859842104e-05, -3.5351137383e-06, -2.41111417924e-05
68, 1.44367357129e-05, 1.63377720395e-05, -4.15292155963e-05
69, 2.67846043913e-05, -1.5720935848e-05, -2.02575683289e-05
70, 1.6454895038e-05, -1.1006155228e-05, -1.12039758032e-05
71, 1.84088983673e-05, -5.36113470169e-06, -2.3987537052e-05
72, 1.34717967238e-05, -2.58607298258e-05, -5.83871081601e-05
73, 1.47487752451e-05, -7.55195764556e-06, -8.60537597511e-06
74, 2.42129286379e-05, -1.32518045586e-05, -1.78454840128e-05
75, 1.70718460265e-05, -1.5554693235e-05, -2.23735258174e-05
76, 3.31535473987e-05, -3.04788966636e-05, -1.23101943004e-05
77, 4.78787964799e-05, -1.12458673935e-05, -3.38450031791e-05
78, 1.03778614962e-05, -1.45205312886e-05, -2.38148912291e-05
79, 8.6000147968e-06, -5.21210654098e-06, -1.71687488166e-05
80, 7.45582456655e-06, 1.34583420165e-05, -1.61397558149e-05
81, 6.59715505162e-06, 2.2543413034e-06, -2.42897772336e-05
82, 1.93747778275e-05, 6.81108744419e-06, -5.58917390204e-05
83, 1.72842194159e-05, -1.66309624057e-05, -1.7298328258e-05
84, 1.94422059089e-05, -1.52687109615e-05, -1.74577262465e-05
85, 1.7909284343e-05, -8.28002047915e-06, -1.69601118529e-05
86, 1.28750643947e-05, -6.32573533299e-06, -5.75381168139e-06
87, 3.24297386756e-05, -2.07672323594e-05, -2.99799929057e-05
88, 1.40120295874e-05, -1.03189597174e-05, -2.66470673731e-05
89, 2.22092971233e-05, -7.67954328566e-06, -3.72734685851e-05
90, 5.4944253693e-06, -3.13901285454e-07, -1.37959936269e-05
91, 1.82576514018e-05, -2.63727850522e-07, -2.20176498903e-05
92, 2.3398078238e-05, -3.65444055008e-06, -1.31729815765e-05
93, 6.16723416695e-06, -8.64341397171e-06, 1.55785872176e-05
