,bootmad,bootp50,bootsig,dboot,dwa,ecf,eqd,meas,names,wsnt
982,9.566363776810478,10.993106970837266,4.4749770536325855,70.44964570669285,70.1218426751305,5.035208851254703,7.372098313994564,7,NGC 0735,5.384654619884898
983,7.891260831837922,3.847852741450548,3.5089149829158615,60.6696502386204,59.971488413027764,8.265407170039689,8.626881132290187,2,NGC 0736,2.4710569366408586
984,18.07251940712837,15.99987295678453,8.358448569988289,150.51523880747396,154.9856548129714,12.203410221137236,18.278530546645364,3,UGC 01417,13.608139399612675
985,7.068174777076766,6.298864890877368,3.7739329958304118,71.2886716644014,71.24324441666568,5.4469023077358685,5.550694874458894,3,UGC 01420,1.068395450816739
986,11.418941667610616,14.924315378791745,4.176981383925261,82.55344487444484,82.6546841098819,3.8385541316077494,9.180162312244196,13,ESO 245- G 010,8.339117594677855
987,17.94438146925898,20.38213529616675,7.529922080407042,111.05096116772589,76.22379339052517,2.2653362520629985,15.286820163086606,7,UGC 01416,15.118039633617858
988,5.347017966608491,18.569939273266478,4.337812894216928,25.08803839785715,34.23026807675647,3.490270153211861,26.84617613766468,4,CGCG 522-082,26.618324279941344
989,7.347572916677497,8.771211649912718,3.5668890798785835,58.024383889510766,57.72407266427698,3.3945699484491643,6.168894448609773,7,IC 0176,5.150937155816824
990,7.507028166090373,9.552192754644187,3.7824123360464506,64.7677215010134,64.15427165780717,2.6634483537467935,3.931574725634964,8,NGC 0740,2.8919409900921456
991,3.291932675982263,3.8267473900986277,1.5717133540215475,28.9605462810182,28.75571863634169,1.811029877396214,1.947169371388331,6,UGCA 022,0.7152896923981794
992,13.219544704335235,15.335346524739485,5.995932101699324,101.37198368921223,102.78506655800662,6.619364145741373,10.691520589744549,6,IC 1756,8.39598897253952
993,11.150398435758122,11.747100196982853,5.8499009931674895,108.43941598513679,108.2251953122139,7.540853728697782,7.820990521993055,4,IC 1755,2.074468073384104
994,16.72670304679274,15.430359538964115,8.801678280417764,147.6284575551595,149.59737322434384,11.938130195220056,14.379080408634428,3,2MASX J01571518+1450072,8.01492363282081
995,7.216500286358326,6.38851237676226,3.8530408680911923,72.5105864129239,71.333357514316,5.250316577474547,7.105442566450715,3,KUG 0154+041,4.787639282718121
996,15.424277895601199,12.512520552731704,7.3164889990047515,110.10364581107706,110.2621592225093,13.124840216145286,14.011963020149517,3,2MFGC 01488,4.906493348481472
997,10.696026109125986,11.550255147725926,4.6807744789701555,83.05263553524668,85.13809063442679,5.822377912518966,8.976363735445604,5,NGC 0747,6.83191198383251
998,15.394695665346317,10.559160732480048,5.242343316934794,55.91383943582154,55.05191286255104,7.587380059082925,32.65073200066462,2,NGC 0750,31.756919939097614
999,12.354276575802706,15.61071305451514,2.245364300696886,47.389905772789746,54.564139378908756,1.3698958982458385,17.771472415169676,16,NGC 0753,17.718595233006084
1000,10.238054711992145,13.012151254896994,3.657786062092442,72.17285047175926,72.69867117273051,3.400366019902487,10.038407251032545,10,IC 1762,9.444952676867963
