,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
180354,,134443,56512,NGC 3521,30.15,,10.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180355,,134444,56512,NGC 3521,30.15,,10.7,Tully-Fisher,2013AJ....145..101K,,,,,33,
180511,,134600,56636,FGC 1195,34.44,,77.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
180512,,134601,56636,FGC 1195,34.5,,79.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
180513,,134602,56636,FGC 1195,34.5,,79.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
180514,,134603,56636,FGC 1195,34.5,,79.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
180523,,134612,56645,ESO 377- G 007,32.51,,31.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
180524,,134613,56645,ESO 377- G 007,32.53,,32.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
180525,,134614,56645,ESO 377- G 007,32.55,,32.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
180526,,134615,56645,ESO 377- G 007,32.61,,33.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
180531,,134620,56650,SDSS J110627.28+182324.0,32.41,,30.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180536,,134625,56655,FGC 1194,35.0,,99.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
180537,,134626,56655,FGC 1194,35.01,,101.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
180538,,134627,56655,FGC 1194,35.03,,101.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
180539,,134628,56655,FGC 1194,35.06,,103.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
180642,,134731,56731,NGC 3516,32.9,,38.0,Tully-Fisher,2016ApJ...822...69D,,,,,36,
180687,,134776,56760,NGC 3526,31.59,,20.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180720,,134809,56786,UGC 06169,32.7,,34.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
180759,,134848,56810,UGC 06171,32.35,,29.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
181107,,135192,57139,FGC 1198,35.53,,128.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
181108,,135193,57139,FGC 1198,35.55,,129.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
181109,,135194,57139,FGC 1198,35.58,,131.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
181111,,135196,57139,FGC 1198,35.63,,133.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
181480,,135559,57467,IC 2627,26.39,,1.9,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
181481,,135560,57467,IC 2627,26.51,,2.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
181482,,135561,57467,IC 2627,26.58,,2.07,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
181484,,135563,57467,IC 2627,26.78,,2.27,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Diameter
181485,,135564,57467,IC 2627,26.92,,2.42,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Mean of B mag and Diameter TF relation
181486,,135565,57467,IC 2627,26.99,,2.5,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,B
181528,,135607,57484,NGC 3557,32.94,,38.7,Comp. Secondary: Tully-Fisher,2001ApJ...553...47F,,,71.0,,21,"GClstr NGC 3557 GROUP BCG 1 of 1, 60 gxys"
181589,,135668,57524,NGC 3557 GROUP,32.94,,38.7,Tully-Fisher,2001ApJ...553...47F,,,71.0,,21,"GClstr NGC 3557 GROUP, 60 gxys"
181685,,135759,57597,CGCG 067-022,31.36,,18.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
181846,,135912,57719,NGC 3568,31.36,,18.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
