,names,meas,bootp50,bootsig,dboot,wsnt,dwa,ecf,eqd,bootmad
5762,IC 4237,19,7.818976883168433,1.7645484789545531,42.65976157306785,3.780719044548143,44.674467541223876,1.1357640694819144,3.947631760351406,5.699020280001498
5763,2MASX J13243442-2709107,3,16.77174200398436,9.81478561368492,185.47974360401733,5.123373853319653,186.75616718351642,14.382251491092632,15.267551132841039,18.929105592580378
5764,2MASX J13243500-1947554,3,14.316538246424537,8.784561506557166,121.66205887149593,1.4056283959759854,121.98829180936187,10.142113554454184,10.239055549171384,14.709650996560693
5765,ESO 508- G 069,3,12.209842139055807,7.341913584043782,106.30691400231521,0.8786558267578163,106.86552260945712,8.841054922090771,8.884609625488388,12.739478482321934
5766,UGCA 353,13,5.0376196868596805,1.3492541619137455,17.416555849037923,4.379338200292875,17.231469276094955,0.7952137053648582,4.450951348840442,3.308311820266228
5767,NGC 5121,4,3.456924131233857,1.6747327068930595,25.974226160048044,0.6589736578748849,25.85961778023257,2.636761474068039,2.717858964865996,3.5535606135820523
5768,ESO 508- G 070,3,22.641084685218544,12.280164722152072,234.16583160174227,23.70369813881838,237.02523178738974,17.29841184919987,29.344511547489766,24.846681858500823
5769,NGC 5124,2,4.274710459561506,3.7679645319092274,57.72635377556361,8.95695802920944,57.54216617732815,7.930592444632165,11.963335390261205,8.099946947970796
5770,2MASX J13245119-2624516,3,12.14536505555904,7.757015092963444,90.01351388323482,0.7540506693763274,90.18940613901407,7.701984178094047,7.738808221657771,11.901732321261324
5771,2MASX J13245678-2639316,3,15.823026242464849,9.016159020574886,157.7352035016486,7.751071591444958,159.6701433912246,12.60454161152231,14.797080119141832,17.426314909906118
5772,2MASX J13245768-2732346,3,14.120020840210039,8.323931771622052,154.70230982553161,4.899684624576993,155.9064396369412,12.08902161238381,13.044207640366626,15.876973793532953
5773,ESO 508- G 071,4,13.343943833540841,6.689606119063849,94.01661441418409,6.809135396123261,93.05544518424126,7.021251361335532,9.780710379200212,11.840619326009683
5774,2MFGC 10759,4,20.08719217897603,8.790874982685494,147.7923060172241,15.847704235858238,151.91439445568415,11.00155007397268,19.292066596851864,19.291050797527426
5775,ESO 576- G 051,13,13.465917179719849,3.695098500789605,51.51307970968552,9.8940147848491,50.745233103427495,2.458101138187196,10.19479228667116,9.524698145737744
5776,ESO 382- G 058,13,16.88630165620313,4.5847545267944705,91.94731809924717,9.27221139556938,94.01464033093767,4.511607238533755,10.311571366136048,13.127180963836782
5777,NGC 5134,19,1.932909709588265,0.45908738961989015,7.082874279503422,2.1740458989654856,7.197346298649791,0.3040883712840035,2.195209627429418,1.3217498371218648
5778,ESO 508- G 073,3,13.23264056382639,7.59536415667368,156.5902265908069,6.712111259715189,157.9991953774716,11.788677746462431,13.56559473715524,15.272111824395806
5779,NGC 5121A,5,3.2135167742991455,1.590476016911068,17.98796899503955,0.6422434068732306,17.910715522528626,1.2958550544681153,1.4462769153459845,2.43533701520726
5780,ESO 508- G 075,3,12.795193026512221,7.950511854522977,134.21020649948662,0.5967078046253812,134.27847048166572,4.822672090776314,4.859447118680646,10.387968608953587
5781,ESO 508- G 076,3,14.224411363627457,8.013500556511959,170.01435319237874,11.08994269738824,171.82172189355933,12.435001401388915,16.661815293775735,16.33545291625224
5782,ESO 508- G 077,3,18.97721708803957,10.624195658640298,203.2981611009501,14.378824952242146,205.84219055050534,15.530511308538127,21.164767622439232,21.271098178822026
