ICol,Dx,Dy,Dz
149, 1.43702120997e-06, -1.75155824948e-05, -1.87477215214e-06
150, 1.24586110051e-07, -1.98591771853e-05, -1.82917852165e-06
151, 3.65541796487e-06, -1.99924451335e-05, 3.03929094199e-06
152, 4.3742222733e-06, -1.95324884759e-05, -3.04805640416e-06
153, 3.82285628339e-06, -1.75125611501e-05, -4.82473907027e-06
154, 5.01065867327e-06, -1.96693935092e-05, -2.07764932735e-06
155, 2.1335452379e-06, -1.99868841626e-05, -3.68669644334e-07
156, 3.23109781566e-06, -1.84311317005e-05, -5.57717800962e-06
157, 2.4738034803e-06, -1.79164742984e-05, -1.40477689185e-06
158, 3.05854114177e-06, -1.85762860642e-05, -1.0516679073e-06
159, 7.19818912149e-07, -1.95406750561e-05, -1.7766530968e-06
160, 1.58347957868e-06, -1.71711638607e-05, -2.26583676413e-06
161, 3.37110878422e-06, -1.99673316749e-05, -8.92910114906e-07
162, 2.86133261301e-07, -1.953312304e-05, -1.02461242775e-06
163, -1.32261552708e-07, -1.98919460606e-05, -1.05882677054e-07
164, 2.50474393596e-06, -2.06721941922e-05, -4.14742954492e-06
165, 5.62668118661e-06, -1.67917390261e-05, -2.71784688681e-06
166, 5.04381331199e-06, -1.99667174797e-05, -2.63997074314e-06
167, -7.86487040785e-08, -1.61010965184e-05, -1.53854590234e-06
168, -1.30701545714e-07, -1.82553629091e-05, -1.05188921938e-07
169, -3.06788954944e-07, -1.96004025888e-05, 4.5992715135e-07
170, 2.27248370211e-06, -1.58789260433e-05, -4.08516629621e-06
171, 3.52261401125e-06, -1.8500954938e-05, -2.00447465834e-06
172, 2.407047718e-06, -2.05144638393e-05, -7.00709916187e-07
173, -1.5042891404e-06, -1.81384953959e-05, 4.36704141873e-07
174, 2.55446937056e-07, -1.75820268629e-05, -4.33262074687e-07
175, -3.28003461952e-06, -1.57087996933e-05, -9.47003287934e-07
176, -5.24973497758e-08, -1.86780810201e-05, -1.92022945679e-06
177, 1.98058329165e-07, -1.86633587666e-05, 5.90768299939e-07
178, -9.75272930781e-07, -1.90083897278e-05, -1.63634241448e-06
179, 8.845924389e-07, -1.85110140803e-05, -3.39971034343e-06
180, 1.80957553337e-06, -1.63544739083e-05, -7.34444349259e-07
181, 8.97227973631e-07, -1.82634756004e-05, -3.37059157178e-06
182, 6.81807868107e-06, -1.9633226542e-05, -1.68647742146e-06
183, 3.38180809634e-06, -1.83472201913e-05, -1.85801796033e-06
184, 4.27189641825e-06, -1.93301157927e-05, -2.18430493709e-06
185, -1.57263717237e-06, -1.89236804975e-05, 3.3727527677e-07
186, -1.32009522641e-07, -1.79523548804e-05, -1.04118002111e-07
187, 4.50159946623e-06, -1.7824848708e-05, -1.45480988444e-06
188, 5.24776359046e-06, -2.00785891365e-05, -1.61961719762e-06
189, 8.41507869898e-07, -1.91453130431e-05, -2.86246400075e-07
190, 5.78971527083e-07, -1.64734723938e-05, -2.40097697098e-06
191, 3.12734142056e-06, -1.99864648299e-05, -2.86813460143e-07
192, 1.02485891681e-06, -1.94429136126e-05, -1.62790591305e-06
193, 1.40106752402e-06, -1.80445470507e-05, -6.52385008898e-06
194, -4.01654875249e-07, -1.70674628635e-05, -3.02881479122e-07
195, 1.34299518218e-06, -2.02977325867e-05, 1.00708707394e-06
196, 3.30155243396e-06, -1.88437797616e-05, -5.75562232825e-07
197, 3.9129909465e-06, -1.89729704817e-05, -1.50419251827e-06
