,Names,RA,DEC,Redshift
229,2MASX J00534514-0307006,13.43804,-3.11689,0.042182
230,2MASX J00535014-0308216,13.45896,-3.13933,0.042719
231,2MASX J00540361-4731557,13.51508,-47.53225,0.032266
232,2MASX J00540560-4636597,13.52346,-46.61664,0.029237
233,2MASX J00540600-0602489,13.52502,-6.04716,0.04819
234,2MASX J00541225-1927505,13.551,-19.46417,0.030905
235,2MASX J00541574-1428116,13.56589,-14.47005,0.033276
236,2MASX J00541589-0114220,13.56635,-1.23933,0.045078
237,2MASX J00541843-6153345,13.57675,-61.89286,0.027746
238,2MASX J00541944-0716129,13.58092,-7.27028,0.051893
239,2MASX J00542382-6551406,13.59929,-65.86136,0.03927
240,2MASX J00543033-1550026,13.62655,-15.83414,0.053991
241,2MASX J00544214-0129214,13.67563,-1.48931,0.039561
242,2MASX J00552898-0917344,13.87083,-9.29282,0.055151
243,2MASX J00553669-6344108,13.90317,-63.73631,0.032399
244,2MASX J00553821-0134467,13.90917,-1.57961,0.04903
245,2MASX J00561651-1000318,14.06881,-10.00895,0.05347
246,2MASX J00561810-0137327,14.07537,-1.62583,0.044771
247,2MASX J00562264-0020429,14.09448,-0.34517,0.044814
248,2MASX J00562351-0059129,14.09812,-0.9869,0.044137
249,2MASX J00562918-0113319,14.12167,-1.2255,0.044351
250,2MASX J00563584-0031519,14.14948,-0.53112,0.043359
251,2MASX J00563888-0248409,14.162,-2.81129,0.045715
252,2MASX J00564085-5231102,14.17017,-52.51961,0.027336
253,2MASX J00564411-0803371,14.18371,-8.06033,0.050762
254,2MASX J00564659-0135469,14.19408,-1.59644,0.045211
255,2MASX J00564867-2155522,14.20288,-21.93108,0.052913
256,2MASX J00570707-0228356,14.27942,-2.47658,0.041796
257,2MASX J00572059-6851143,14.336,-68.85406,0.034921
258,2MASX J00574158-0118438,14.42329,-1.31222,0.047186
259,2MASX J00574272-1017564,14.42797,-10.29896,0.049695
260,2MASX J00574586-1129204,14.44105,-11.48902,0.038713
