,D (Mpc),H,M,P,Q,j2000,meas,objname
8,0.76820932466103,0.04696404702976308,0.03719386151515535,0.017199893100681114,0.018570836544998953,J004620.2+334812,3,ANDROMEDA11                   
9,41.114972110452214,0.0,0.0,10.235161157175975,0.0,J230350.1-284437,1,ESO469-008                    
10,19.30477697616072,2.6793473314273664,2.710760734806273,1.9595403239727525,2.311582613944658,J032848.8-351042,4,NGC1351A                      
11,17.538805018417605,0.0,0.0,1.6979317138330083,0.0,J155703.0+481006,1,IC1153                        
12,28.973435877013273,0.0,0.0,2.1370806302884993,0.0,J013906.5-073046,1,NGC0636                       
13,24.252282403066836,2.900233327989864,3.519151518861091,2.907199303574749,3.231041877312572,J092301.0-322659,3,IC2469                        
14,59.74470282995664,6.384561138668541,7.491600429689131,6.008698374605781,6.107823313144353,J143025.5+351916,3,NGC5656                       
15,23.395232635253542,3.278730224084081,2.8272749040227607,1.5287910430719212,2.202884329970074,J122542.5+071302,6,IC3322A                       
16,38.67919564201395,5.767658427824261,7.697033144547053,3.783581446683692,15.479339830633377,J202428.1-433912,2,NGC6902                       
17,39.91011098357802,2.890363710691342,5.92988531118832,6.26031942851761,6.508791434716992,J231601.4+063908,2,NGC7562A                      
18,137.41053690368926,17.701235068757846,18.760658755355173,2.99855148706438,20.931036420888425,J115610.3+603122,3,NGC3978                       
19,322.1068791283428,0.0,0.0,17.818952553379923,0.0,J005823.0+004046,1,PGC1172545                    
20,56.64349573764702,6.282709921757821,6.477649725029011,1.1938732664615366,9.544828866039694,J195612.9+402602,3,PGC063832                     
