Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
80,LSBGF119-024                  ,LSBG F119-024                 ,267.851,-37.329,G     ,13491,0.045,0.002,SNIa                                    ,36.77,0.26,35.91,37.08,219,24.77,146,251,24,0,80,
164,2MASXJ10033546-3527410        ,2MASX J10033546-3527410       ,268.435,15.932,G     ,14718,0.049094,0.00015,SNIa                                    ,36.88,0.3,35.95,37.5,226.46,29.77,145,296,24,1,164,
68,2MASXJ13310895-3312576        ,2MASX J13310895-3312576       ,312.418,28.923,G     ,15143,0.050512,0.00023,SNIa                                    ,36.94,0.25,36.09,37.31,236.29,24.67,157,277,24,1,68,
182,UGC05691                      ,UGC 05691                     ,214.069,57.423,G     ,16325,0.054453,0.000164,SNIa                                    ,37.01,0.31,36.17,37.31,246.45,31.61,162,278,11,3,182,
69,ESO156-G008                   ,ESO 156- G 008                ,265.047,-48.929,GPair ,17598,0.058701,0.000334,SNIa                                    ,37.14,0.29,36.35,37.48,259.2,36.97,176,313,15,4,69,
153,2MFGC07478                    ,2MFGC 07478                   ,246.719,28.836,G     ,16281,0.054308,0.00015,SNIa                                    ,37.14,0.04,37.12,37.17,261.5,4.95,258,265,2,1,153,
2,2dFGRSS839Z607                ,2dFGRS S839Z607               ,319.123,-65.878,G     ,18287,0.060998,0.000213,SNIa                                    ,37.26,0.39,36.33,37.71,277.2,50.29,174,348,10,1,2,
61,FCCB0602                      ,FCCB 0602                     ,240.03,-55.343,G     ,19202,0.064051,0.00015,SNIa                                    ,37.54,0.24,36.75,37.78,307.7,32.48,211,360,23,1,61,
64,2MASXJ03363839-1821123        ,2MASX J03363839-1821123       ,208.832,-51.094,G     ,23684,0.079,0.002,SNIa                                    ,37.62,0.23,36.76,37.96,315.12,31.75,208,362,24,0,64,
194,GALEXASCJ212817.31-613306.5   ,GALEXASC J212817.31-613306.5  ,332.704,-41.986,G     ,22484,0.075,0.002,SNIa                                    ,37.68,0.2,36.86,37.88,325.12,29.8,219,373,26,0,194,
31,2MASXJ01454460-5605518        ,2MASX J01454460-5605518       ,288.014,-59.43,G     ,26382,0.088,0.002,SNIa                                    ,38.09,0.32,37.5,38.63,391.85,68.14,291,532,20,0,31,
206,BLLac                         ,BL Lac                        ,92.59,-10.441,QSO   ,20566,0.0686,0.0004,GeV TeV ratio                           ,38.43,0.17,38.31,38.55,472,59.4,430,514,2,2,206,
