Inx,Gname,Fname,Glon,Glat,Type,cz,zz,zz_d,Method,mag,mag_d,mag_min,mag_max,dis,dis_d,dis_min,dis_max,Ndis,Nz,rowN,
178,NGC3250                       ,NGC 3250                      ,274.969,14.932,G     ,2824,0.00942,0.000107,Tully-Fisher                            ,32.97,0.25,32.47,33.24,39.38,4.35,31.2,44.4,10,4,178,
177,NGC3225                       ,NGC 3225                      ,152.124,49.865,G     ,2134,0.007118,0.000023,Tully-Fisher                            ,32.96,0.35,32.27,33.68,39.53,6.38,28.5,54.5,14,6,177,
31,NGC4709                       ,NGC 4709                      ,302.655,21.489,G     ,4678,0.015604,0.000014,Tully-Fisher                            ,32.95,0.4,32.32,34.04,39.58,8.3,29.1,64.3,15,10,31,
170,NGC3153                       ,NGC 3153                      ,226.252,50.226,G     ,2808,0.009366,0.000017,Tully-Fisher                            ,32.94,0.49,31.88,33.7,39.6,8.73,23.8,55.1,18,7,170,
95,ESO121-G026                   ,ESO 121- G 026                ,268.865,-26.871,G     ,2267,0.007562,0.000013,Tully-Fisher                            ,32.97,0.38,32.16,33.57,39.72,6.8,27,51.8,14,5,95,
179,NGC3257                       ,NGC 3257                      ,272.912,18.765,G     ,3200,0.010674,0.000087,Tully est                               ,32.99,0.26,32.68,33.24,39.73,4.6,34.4,44.4,4,4,179,
242,NGC4162                       ,NGC 4162                      ,229.363,80.593,G     ,2569,0.008569,0.00002,Tully-Fisher                            ,32.98,0.31,32.14,33.32,39.85,5.13,26.8,46.1,11,10,242,
63,IC4237                        ,IC 4237                       ,313.192,41.074,G     ,2661,0.008876,0.000003,Tully-Fisher                            ,33,0.27,32.22,33.31,40.07,4.5,27.8,46,15,10,63,
234,NGC3888                       ,NGC 3888                      ,140.301,58.955,G     ,2408,0.008032,0.000037,Tully-Fisher                            ,33.02,0.08,32.87,33.1,40.28,1.57,37.5,41.8,6,11,234,
5,MCG-01-02-001                 ,MCG -01-02-001                ,101.752,-67.904,G     ,3709,0.012372,0.000013,SNIa                                    ,33.02,0.53,32.25,33.36,40.42,8.62,27.9,46.2,4,2,5,
88,IC2143                        ,IC 2143                       ,223.254,-22.377,G     ,3051,0.010177,0.000007,Tully-Fisher                            ,33.03,0.07,32.91,33.11,40.49,1.38,38.1,41.9,8,7,88,
228,NGC3715                       ,NGC 3715                      ,275.362,44.321,G     ,2124,0.007085,0.00003,Tully-Fisher                            ,33.02,0.37,32.45,33.63,40.67,7.12,30.9,53.3,9,6,228,
178,NGC6876                       ,NGC 6876                      ,324.129,-32.6,G     ,4010,0.013376,0.000053,Tully-Fisher                            ,33.01,0.42,32.54,33.71,40.68,8.3,32.2,55.2,9,8,178,
92,NGC5557                       ,NGC 5557                      ,65.303,69.349,G     ,3219,0.010737,0.000017,Tully-Fisher                            ,33.03,0.32,32.58,33.43,40.7,5.96,32.8,48.6,9,4,92,
