,names,meas,bootmad,bootmsig,bootmother
203,IC 1552,4,11.782224325056568,5.071843348442404,7.797878539489638
204,UGC 00299,12,14.393366719415374,4.621080274537808,13.345107037462778
205,MCG -02-02-030,4,5.838890953686696,2.443757207026896,3.8264644083849313
206,NGC 0132,4,10.356260257399184,4.506543954317894,7.265725653093783
207,NGC 0134,24,2.846134979623906,0.5885677969746834,2.7404285970555313
208,ESO 410- G 016,3,11.137297887480974,7.296164278338572,7.225800337413713
209,NGC 0134 GROUP,23,3.0093353073708267,0.650682028224903,2.8721108011011305
210,MCG -01-02-025,7,11.142412293280483,5.176033187748716,9.44938843506544
211,NGC 0143,6,15.497790485754274,6.059849816412765,13.079298960584905
212,UGC 00310,9,7.268908091831483,2.840335057590924,6.521683201972488
213,UGC 00312,4,6.058935911768201,2.785652344456475,4.307472176811386
214,ESO 539- G 014,9,10.895682174126879,4.124558471499084,9.63592072703553
215,MCG -02-02-040,13,6.559653717342954,2.2640711036912107,6.069550354907937
216,UGC 00316,2,19.544391083622916,15.094916255501523,19.781769448113813
217,NGC 0145,6,3.536578160091716,1.6449864323424865,2.869341547956477
218,ESO 473- G 025,4,12.37284515524219,4.79513295361156,8.916141338507888
219,2MFGC 00371,4,27.71576727175972,12.408374967058222,20.548842407817894
220,ESO 079- G 003,13,5.504576884989336,1.672599167473455,5.107212472617146
221,UGC 00319,9,8.469742636193276,3.3574095278394815,7.400885737615585
222,CGCG 500-040,4,8.96413727688299,3.928165928489036,6.196181624437436
223,ESO 294- G 021,7,14.544783577024116,5.790846665264617,12.598849754836575
224,UGC 00320,6,5.5751530796481,2.5039945548520977,4.709732939298401
225,UGC 00321,11,8.397015600483275,2.887157737012946,7.629798209124305
226,IC 1553,9,5.261022540838465,1.9161587018347734,4.591279483879296
227,MCG -02-02-049,11,8.581883585178561,3.0808354031600915,7.947486781057641
228,CGCG 500-042,6,9.676438791690424,3.830968851461551,7.717427939979948
229,UGC 00323,4,7.437423377356753,3.5087005719978746,5.382466160457561
230,CGCG 500-043,3,5.538340216758996,3.027199160311784,3.37001392250064
231,MCG -02-02-051,8,12.262618025551077,3.9662521531479786,10.631618822889736
232,UGC 00327,3,7.216812504678048,4.243873758613158,4.231690386257194
233,CGCG 479-040,3,8.28667089260692,5.3119124669920526,4.993354861084946
234,UGC 00329,3,6.53561480375243,4.235893080227096,3.9477747056445556
235,NGC 0151,23,10.760720297682974,2.0238569911668303,10.504574560436465
236,NGC 0150,28,4.321388318852257,0.7871252033963472,4.230582354752703
237,NGC 0154,2,19.638373497929067,14.09440378527363,16.754466896722935
238,IC 1555,11,3.0382976140952147,1.0134866529883022,2.789978477973195
239,NGC 0155,2,11.402203355272796,8.42904612779005,9.116644529369253
240,NGC 0157,15,2.7687769062746588,0.7992209157358969,2.6936152471264543
241,UGC 00345,4,5.694209510641396,2.6142607299546023,4.069205872876678
242,UGC 00344,3,9.560104755469776,5.998659808276909,6.044012643335044
243,UGC 00346,9,9.062771433192715,3.485817163731968,8.220824270166137
244,MCG -01-02-038,3,11.601751517028086,6.58300779994045,7.596734253650185
245,IC 0034,7,10.208056253349499,4.2767033702416075,8.76485635336458
246,UGC 00353,3,6.990973536805443,4.266193752915184,4.10006915558143
247,ESO 540- G 003,4,8.44993230478477,3.694721992624556,5.757501025739698
248,UGC 00352,4,9.199336555621489,4.190641086826972,6.747899933465291
249,IC 1558,12,1.5540553694331283,0.5149886662656059,1.4870536190039976
250,UGC 00355,4,12.548169445508458,5.618285762822245,9.260887397687762
251,NGC 0163,2,11.900008942072615,7.74226974630513,8.824344288078166
252,VV 548,6,10.899758064563784,3.8184267777129666,9.250308777856159
253,NGC 0160,7,9.892516235245932,3.9846975404452705,8.6973230144629
254,ESO 350- G 037,2,7.775704785726666,5.488840513768883,5.866257786568796
255,UGC 00357,3,11.838089074704527,6.837197742581013,6.734215849154495
256,UGC 00359,3,4.728786870541603,3.1540750042111894,3.1210269959908854
257,FGCE 0066,4,13.14838418077527,5.511556922588885,9.703810897062104
258,NGC 0165,8,14.279800144155375,5.354265590615728,12.395056372139159
259,UGC 00364,8,15.144944546219163,5.647715548056894,13.164852088777623
260,ESO 410- G 027,8,11.007800693507482,3.763256921626925,9.73918073547101
261,NGC 0169,8,12.47323772536192,4.623174071523085,10.984371636721583
262,UGC 00367,2,20.0683902110777,13.66860435841554,15.212947019950334
263,ESO 242- G 018,8,6.64653690784115,2.267373824742079,5.84702675171611
264,NGC 0173,4,11.020578762741994,4.715839263615124,7.730288104616704
265,NGC 0172,9,6.356556474116653,2.2501855993285926,5.683758590089072
266,UGC 00371,5,8.734482614808954,4.566150940003935,7.02511844558809
267,NGC 0177,5,8.75650770137167,4.267901812155273,6.32464247258151
268,UGC 00376,7,8.795505421104483,3.8140310998773885,7.519659192121155
269,NGC 0180,6,9.350669994126699,4.266152624330456,8.003946766353273
270,UGC 00379,3,6.794984318548173,4.164974843990679,3.853754239665177
271,ESO 242- G 020,5,5.340599820867756,2.715311945425227,4.1894122104974745
272,ESO 150- G 016,4,14.769691843949124,6.472969626192566,10.832836990422168
273,NGC 0182,4,13.789576887040422,5.932354856263588,9.932799034706925
274,NGC 0181,3,15.700519554261886,8.633442846277275,8.838826095154873
275,UGC 00386,2,5.006473659585897,7.119169330575006,6.684016607507995
276,CGCG 500-058,3,7.4207086950503065,4.2627960580283535,4.191255053476833
277,UGC 00388,6,9.294707495532148,3.7659299975612917,7.300210562767498
278,UGC 00393,3,13.091872837396435,7.812276783193511,7.64317144006946
279,2MFGC 00459,3,12.331922453895688,7.496672842517089,7.599749618630424
280,KHG 1-01,3,9.69922506936827,5.554685518875206,5.46201619551352
281,AGC 101112,3,13.003106376137213,9.26902184171251,9.42032234938214
282,2MFGC 00465,4,7.098156516556732,3.416078517540687,5.0082102687585985
283,UGC 00398,2,8.911345793151032,6.388657450748903,6.670703029516441
284,IC 1564,3,6.862003929740377,4.779531151572059,4.501467293723807
285,NGC 0196,2,9.849076748714104,7.5973319881307955,8.354501451923378
286,ESO 411- G 003,12,11.93049895598971,3.642775625651043,10.760523907347716
287,NGC 0194,2,9.203496439431433,5.670435460819212,6.497737931344157
288,ESO 351- G 001,8,13.811377084389948,4.64674397061111,12.36943107706424
289,ESO 540- G 010,5,7.055708843647722,3.4894846966153756,5.31892349632527
290,NGC 0201,5,9.901794344823271,4.806968549026746,7.581594467427481
291,NGC 0200,11,9.397188397590384,3.135892922182265,8.350020291568772
292,NGC 0195,4,9.06161660006617,3.7938702308923347,6.349058653371081
293,UGC 00418,8,8.00306288833297,3.024476070122207,7.110490346350975
294,UGC 00422,2,41.53666191459763,28.79105428613862,34.62612897825827
295,IC 1568,2,24.017813741238104,16.08681650068583,17.178104844681496
296,NGC 0212,3,9.20236971252972,6.764422795336328,7.049807537333556
297,UGC 00429,2,36.600295350144954,27.766009726439044,33.69477750811225
298,UGC 00392,2,4.411265752907134,3.1743880600183583,3.5297011183125804
299,NGC 0210,15,2.7919301688238485,0.8348060943143466,2.6551357404897744
300,ESO 474- G 011,3,10.733839361611686,6.963808423863533,6.793373648159332
301,ESO 079- G 005,12,3.205565153331811,1.0004065260016655,2.927843563537529
302,NGC 0215,2,16.19425407365322,10.36527526008816,11.525325336455628
303,MCG -02-02-082,3,8.143389432887748,5.5651957913259125,5.2119959239002505
304,UGC 00433,11,9.68775046631958,3.2967763068093934,8.91909371674051
305,NGC 0213,4,10.346276228308472,4.3153316049783355,7.135074244752541
