,bootmad,bootmother,bootmsig,meas,names
4667,5207068.417351312,5.216841167785264,2.587795067000027,2,NGC 4036
4668,4754058.60565044,3.4870100793523267,2.1656346974655745,4,NGC 4034
4669,13741720.988311067,11.758907548841426,5.144043260471884,8,UGC 07008
4670,16639723.01058615,14.172500434709349,6.196072951189004,8,UGC 07010
4671,5733748.811528474,3.5028270402685626,3.461340529578887,3,UGC 07012
4672,4147327.572193997,3.81698391211793,2.6969008216940247,2,NGC 4041
4673,8749749.368293349,6.767289883396704,4.235753331036116,5,UGC 07017
4674,16696639.568853602,11.948917488816154,10.998727595962784,2,UGC 07016
4675,7150802.1556547135,5.139019914673368,3.312473819428143,4,MCG -01-31-002
4676,2734293.410695512,2.016124245179745,1.8691491988645519,2,UGC 07019
4677,4495464.785458514,4.150322774704668,1.4031634188306,12,NGC 4045
4678,1888326.2561948244,1.6572736560465526,1.0607671314254292,5,ESO 440- G 044
4679,11458466.31574519,8.381799124288671,7.7745867432470925,2,VV 384
4680,8093714.998973656,5.9999071103492225,3.9011930951463447,5,NGC 4047
4681,4911554.144921534,4.490086790200607,1.6638178115088131,10,NGC 4050
4682,11273611.355360292,10.086467221838529,3.8981861528190964,10,IC 0756
4683,1642350.279434409,1.5578458157086772,0.4947255358146244,15,NGC 4051
4684,6209286.94581506,4.648608382739587,2.977061723030329,4,UGC 07031
4685,4627340.910908792,4.295202760302299,1.3329723159177975,12,ESO 572- G 049
4686,8967777.146232262,7.560244197574883,6.3076358650552296,2,ESO 267- G 011
4687,5681906.623234859,5.409247160672673,1.9360574174253868,11,ESO 505- G 008
4688,10805917.123731697,5.868681819815317,5.764522149151134,3,UGC 07037
4689,5026503.176427353,3.6527134077832017,3.3285372488281038,2,ESO 505- G 009
4690,2010671.2364114118,1.9437024034403925,0.5383371247875466,21,NGC 4062
4691,14678270.866121255,10.712358666273351,9.945636722123599,2,NGC 4065
4692,2087084.2038120956,1.995502855822936,0.6241039279503874,15,NGC 4064
4693,15307823.966987953,13.014366039865365,10.721951154503042,2,NGC 4070
4694,6090192.275713015,5.478348966366352,2.059545277442696,10,NGC 4067
4695,12360559.966380812,6.601890816628404,6.6533259953202615,3,CGCG 041-036
4696,12569849.67010986,9.614099052927696,6.099681398057507,5,UGC 07057
4697,14683523.305725813,13.996498515041887,9.439367492638784,2,CGCG 013-059
4698,5149004.983454058,4.836791557746348,1.7440229023122271,10,NGC 4081
4699,12514554.769358845,9.73960705486092,8.87198040471971,2,NGC 4139
4700,14451901.027511455,10.265310368797788,9.391635600777457,2,NGC 4077
4701,1402055.250983947,1.286980332438292,0.4920050977500127,11,UGCA 267
4702,12460985.484506713,10.027108349937613,9.094388797617173,2,ESO 171- G 008
4703,8372774.726754345,7.661368063018307,6.1933867782378975,2,NGC 4078
4704,14744993.723325886,12.588777801284426,5.916437652560657,7,NGC 4079
4705,2370898.414833625,1.7206219638967641,1.5740920194521952,2,NGC 4080
4706,3062142.498691198,2.831410334889648,0.8659569586344013,14,NGC 4085
4707,11256027.031859273,6.1596989904623625,6.296262237292822,3,UGC 07073
4708,10740731.159615837,7.240136342614227,4.5997425153321965,4,UGC 07074
4709,13464776.030877694,7.366756206247405,7.561446115652786,3,UGC 07082
4710,9696820.457671957,5.878875932510772,5.9252215725554045,3,ESO 440- G 048
4711,2378362.5250556944,2.314652058296353,0.556045553736248,19,NGC 4088
4712,15768541.966136195,12.146653548527182,7.767223585535286,5,UGC 07080
4713,6948384.55978531,4.9820455622122966,4.606110806338842,2,NGC 4087
4714,3104879.437747646,2.9454164330623924,0.8628959590144702,17,IC 2995
4715,5816550.954155077,5.392674988737527,1.6272683369860352,12,IC 2996
4716,3571695.7519205837,3.3895103637316004,0.9978383574756514,15,NGC 4094
4717,4495154.015695231,4.066417079787338,1.6012908847163358,10,UGC 07086
4718,1748484.5691865925,1.579288256515306,0.613686062295314,10,UGC 07089
4719,2301385.39345494,2.246093524384013,0.4325529171195856,29,NGC 4096
4720,14320042.800926022,9.61693496919536,6.094161183523982,4,NGC 4098
4721,3207842.010596713,3.093493758680166,0.6930527681150215,24,NGC 4100
4722,1362838.2613567128,0.8319275117095913,0.7621415665863549,3,UGC 07094
4723,3231596.2180450535,3.07516401789716,0.8325593527111314,17,NGC 4102
4724,4018434.790401928,3.0316637848536403,2.8296342528488547,2,NGC 4105
4725,9515654.241156142,8.446940786755246,3.7101340550744912,8,UGC 07100
4726,7603718.437649205,6.625801371605668,2.9478438640164684,8,MCG -02-31-017
4727,4612239.174355528,3.9370673251992985,2.015589348229493,7,ESO 379- G 027
4728,2029648.5889219374,1.8262049810417968,0.9879703752142204,4,NGC 4111
4729,13370213.776888952,11.517389811290366,5.621099163166522,7,NGC 4110
4730,8751893.777548462,5.915147902739783,3.678430264648958,4,NGC 4114
4731,3674892.016179163,3.432829124408878,1.1011094070792948,14,IC 3005
4732,3978107.8401924367,3.8205047997830244,1.362224204352751,11,NGC 4116
4733,9647527.427275447,6.5691483903405015,4.03586112833075,4,MCG -02-31-019
4734,13788940.238261282,10.326474679709008,10.703537540900019,3,ESO 573- G 002
4735,3347835.96336104,2.961711933512356,2.509725816724909,2,NGC 4117
4736,4620520.0062934905,4.250806370678848,3.064677105710641,2,IC 3010
4737,8015472.721287285,8.649483894876576,2.659532204267507,2,NGC 4119
4738,4677863.693190326,4.610196219416573,1.2383721301395554,11,NGC 4123
4739,12418952.804228986,6.822604867176482,6.949592858629366,3,IC 0762
4740,3649839.9002028517,3.389738124583876,1.3504464320812872,11,ESO 441- G 007
4741,5648883.359243579,5.413473977634672,1.3862126202752745,21,NGC 4127
4742,4444492.706090367,3.092720344768865,1.9745555142927256,4,NGC 4120
4743,4647046.798254617,3.7460689160391114,3.2193908738929613,2,NGC 4128
4744,4960875.383418283,3.8329036033196533,1.9470159153183741,4,UGC 07125
4745,14632089.00862042,10.302712052349927,6.007848406965178,4,NGC 4131
4746,2356885.299602426,1.5973112428938907,1.0005638506245471,4,NGC 4133
4747,3015887.145305218,2.7479532493440653,0.9758991739469564,12,NGC 4129
4748,7014917.165654475,6.132560607362306,2.1493020125782305,6,UGC 07129
4749,3943511.417988451,3.1608340909847943,1.5750910036416643,6,IC 3015
4750,7220436.261264224,5.934895309771964,3.0535899614924835,7,NGC 4134
4751,4623920.871995803,4.357329617978303,1.5206543365897047,13,ESO 441- G 011
4752,5197031.657498062,4.355489136921685,2.2120125129893338,7,ESO 441- G 012
4753,448130.54730022326,0.3491663793159537,0.3105072811557148,2,NGC 4138
4754,3909738.401501851,3.639391143522413,1.277257124430249,13,NGC 4142
4755,3007693.9156857063,2.4135761813343866,2.180310217233374,2,NGC 4143
4756,4146123.9278439092,2.997716790082785,2.7446806909672894,2,ESO 505- G 023
4757,13218215.200821167,8.965120378917518,5.6947434906763865,4,UGC 07141
4758,6261127.852116726,5.5445424243389,2.494717746012517,9,UGC 07153
4759,6344437.455362747,4.898892040863715,4.668075518528097,2,NGC 4141
4760,10592820.281129085,5.661414332331552,5.745401625087657,3,UGC 07145
4761,1254675.6410226359,1.2279759528079417,0.25955004306273755,18,NGC 4144
4762,4385785.757140136,4.309288986940118,1.0635020064345222,15,NGC 4145
4763,11030416.079325393,11.290626321536365,6.3431646104151165,2,IC 3024
4764,5197602.51586264,3.7885519564755095,2.4099524393724714,4,ESO 441- G 014
4765,4877937.804614771,4.716275807493525,1.241380271984009,19,IC 0764
4766,14306499.34308242,11.526860380767259,5.796096284740759,6,UGC 07162
4767,1050298.778140048,0.9973182616280746,0.3390922018138296,13,NGC 4151
4768,10222222.580992477,5.605512676811769,5.594817052115157,3,KUG 1208+262
4769,5445079.2488908935,3.7438065644898826,2.3547412615916983,4,UGC 07170
4770,6016782.347102758,5.628702511198972,1.6946335763492235,12,NGC 4152
4771,4453679.833079918,3.2668770797949844,2.894034015529676,2,IC 3029
4772,11353333.423646733,6.160567228001653,6.254524451956232,3,CGCG 128-050
4773,2598337.48280989,1.8704994881800203,1.7227750846311511,2,NGC 4159
4774,2609933.0677603623,2.5307057002912283,0.6373696639240404,21,NGC 4157
4775,8395345.18606712,7.307868876891259,3.81734076990175,5,ESO 441- G 017
4776,3053015.423790658,2.4897414443790646,1.166558071680603,6,IC 3033
4777,11376372.747031525,8.105344397729928,4.702945522516724,4,NGC 4158
4778,4065793.3006280977,3.391414514067129,1.761607416195426,6,UGC 07184
4779,5441584.917495247,4.872152400264191,1.729526667479924,11,ESO 321- G 010
4780,5832165.732816897,4.661988746201071,2.8120502298904055,4,IC 0768
4781,8517068.893221188,8.039270886259057,1.9987201304309847,16,NGC 4162
4782,15648841.525946833,14.017941509926706,5.565852773792332,9,UGC 07196
4783,9857313.582870357,7.936424651920363,4.293946225201895,4,NGC 4165
4784,5008649.74611214,3.5588365201957948,3.2437151861612814,2,NGC 4168
4785,7735409.994854495,5.87896263369184,5.110123440096632,2,NGC 4169
4786,1686010.4151160568,1.3763596074521152,0.8794109912282496,5,NGC 4173
4787,7859201.484912383,5.271827522038534,3.37453558570545,4,NGC 4174
4788,8123118.597806003,5.800920818438464,3.233998961035288,4,NGC 4175
4789,16721622.127979195,12.537913953612016,7.398216949797997,4,UGC 07210
4790,8919228.743218869,8.653279626174152,2.4554589472095896,15,IC 0769
4791,12271745.786592783,9.282278221355057,5.307462874616909,4,IC 3039
4792,9112302.80594483,5.115696026495293,5.2036905864583805,3,ESO 441- G 019
4793,10197621.773844846,8.171351391636161,4.944119879688531,4,UGC 07212
4794,9926885.055738512,6.731268130799088,4.246027833500906,4,NGC 4177
4795,2326308.625108584,2.2623890995246883,0.5766873567155292,22,NGC 4178
4796,2720504.645312046,1.7192184549839749,1.507526782015174,3,IC 3044
4797,4145490.87145223,4.0923503501042875,2.3778339315952692,2,NGC 4179
4798,2402898.989629833,1.5104703133990671,1.4454049208054025,3,UGC 07218
4799,11059925.535928778,8.598535478312648,5.435547662660206,5,UGC 07217
4800,6706120.23781563,5.829216322975363,2.6506129196267434,7,NGC 4180
4801,10422028.382343143,7.070326258628817,6.77259667239228,3,IC 3046
4802,3476381.687796307,3.354773425085644,0.7506465935030768,25,NGC 4183
4803,13301368.077339865,10.282729573216617,6.418301170238959,4,ESO 321- G 013
4804,9002932.877270937,5.990377780493482,3.871619718399336,4,NGC 4185
4805,7037340.154781592,5.891346532976142,3.752750461533157,4,NGC 4192A
4806,16763511.684370086,11.765810860636485,11.020148720218835,2,NGC 4187
4807,6160627.278511096,5.9312211331767495,1.5590946880782917,17,NGC 4189
4808,2777678.3461415027,2.6824210472540373,0.7566137315666904,15,MESSIER 098
4809,6140366.909909036,4.71779386061511,4.307403675522545,2,NGC 4191
4810,9027687.582490027,8.39940762050637,2.9413679771571064,12,ESO 267- G 029
4811,5086467.516706031,4.8469816211226915,1.4487691977486992,16,NGC 4193
4812,14727261.359915547,12.953603718801155,5.786564195642282,8,NGC 4186
4813,3060722.5254474957,2.219115866210017,1.9875511736098683,2,UGC 07239
4814,13407844.683663115,9.070556598758992,5.580213102156757,4,UGC 07248
4815,3490956.154299155,3.2433655662050525,1.4372884027592463,9,IC 3056
4816,4365062.8955717925,4.057432026572917,1.3749378192395667,12,NGC 4197
4817,4173908.197835762,3.2906614711824984,2.039504156372681,5,ESO 380- G 001
4818,9773979.707200443,5.4257361331643645,5.508022489732615,3,UGC 07250
4819,3477285.5050565233,2.9099502623671203,1.6881818507863748,5,ESO 380- G 002
4820,4298500.683831892,4.186619223571608,2.3677067630818693,2,IC 3059
4821,2420716.164246875,2.0687761746201296,1.019776681185617,6,NGC 4205
4822,3782140.2073790925,3.855538629762703,2.168055785837966,2,UGC 07257
4823,5295990.849197718,5.040821782237468,1.6867341928654702,14,IC 3061
4824,4395415.213609456,3.0204093390877795,2.38514177241254,3,NGC 4203
4825,12197470.751426712,11.238542324033684,3.792799368732165,12,ESO 441- G 022
4826,9938977.63565071,5.269185433239296,5.525518437790239,3,CGCG 013-112
4827,9992731.76555743,6.233904617758252,6.423235380095278,3,ESO 505- G 028
4828,2506353.8625079663,2.6807043352708497,1.6737021006513415,2,NGC 4204
4829,2842115.0748671633,2.73923256871406,0.757055751952254,20,NGC 4206
4830,5503481.373523554,5.170360934977076,1.729019004357124,12,ESO 321- G 016
4831,13105238.663851388,6.9771674316600265,7.147042765348388,3,UGC 07266
4832,2983584.1489808774,2.737362997839375,0.9821668716782809,10,NGC 4207
4833,5077137.3476349665,4.78021021305378,1.5275568452874917,14,ESO 380- G 006
4834,15584919.449796336,10.547285075535534,6.622220298461874,4,UGC 07270
4835,11827028.394968413,6.352331085672997,6.4820185184723655,3,CGCG 128-064
4836,13838192.09265454,9.871564265190873,8.970292395483078,2,NGC 4213
4837,472328.7713563007,0.3372542856086263,0.3111156343357221,2,NGC 4214
4838,2893152.511708345,2.7005684189719985,0.977653117793172,11,NGC 4208
4839,9155557.554430544,8.657593898696646,3.6368293601316894,7,IC 3074
4840,2995989.3286039094,2.7977634983032957,1.1552011899338095,9,NGC 4218
4841,10815510.688069724,9.69166104488214,4.1902867090003815,9,ESO 321- G 017
4842,35815574.535815604,22.067936454537033,22.776150674703228,3,2MASX J12154918+1311478
4843,2898627.6083617117,2.809848245785941,0.7444079794939781,18,NGC 4217
4844,2513850.9987385776,2.320518934092373,0.9029446582927652,10,NGC 4216
4845,5828182.499240726,5.159136503714336,2.22624794625498,8,ESO 441- G 024
4846,22104317.85217554,19.82017215629383,16.779817068303398,2,UGC 07286
4847,28245081.07932344,19.630743926708128,18.32658676966282,2,SDSS J121603.25+140046.4
4848,2313529.3232922573,1.738378831646732,1.092035379411774,4,NGC 4220
4849,10325831.299824834,7.6604069726457675,4.8306950083189255,4,FGC 1395
4850,2987663.6337364563,2.7695682278913147,1.1181133508194874,9,NGC 4222
4851,11429010.225931695,6.711885499776387,6.785501243401312,3,NGC 4226
4852,3071033.5852664537,2.9044061150539178,0.9341022887390104,15,NGC 4219
4853,12694949.58331015,8.968999940209693,8.029385807348977,2,NGC 4227
4854,6578087.026108749,6.057540752134595,2.646930494993172,9,NGC 4224
4855,1160982.7155357779,1.0974729595851795,0.301979653715,8,NGC 4236
4856,3681926.723326577,3.1510385412561517,1.4854594968725294,6,UGC 07301
4857,6221983.49900502,4.702870937022127,4.08727039293802,2,IC 3093
