Col,Dx,Dy,Dz,chi2
28, -2.62092397563e-07, -1.8916785576e-05, -2.89333687318e-06, 940.618613576
29, 4.14382373741e-06, -2.0235345521e-05, -4.12250543927e-06, 899.369176957
30, -1.81492125185e-06, -1.8833381814e-05, -2.76467956829e-06, 877.592032525
31, 3.82022284784e-06, -1.86476808455e-05, -2.17447974124e-06, 1040.43781642
32, 2.66198470395e-06, -1.87956885399e-05, -6.3789141541e-07, 954.920249968
33, 1.46002166938e-06, -2.00201787887e-05, -2.7903777e-06, 997.918502504
34, 1.36804491729e-06, -1.84800656397e-05, -4.14602691193e-06, 904.614929522
35, 3.90041703251e-07, -2.02062211282e-05, -2.46478345884e-06, 866.007615814
36, 4.15644735606e-07, -1.87098758213e-05, -3.38371340778e-07, 865.602437203
37, 3.81656646475e-06, -1.86432391008e-05, -1.39947032494e-07, 906.885456246
38, 1.7209779621e-07, -1.61938259403e-05, -2.96746364278e-06, 922.011874872
39, 2.89632380756e-07, -1.61342001681e-05, -1.79515697954e-06, 932.631213815
40, 7.65377756414e-07, -2.1318392117e-05, -3.67227494981e-06, 871.827002479
41, -1.60841803115e-06, -1.85697670331e-05, -2.11108564119e-06, 898.819693112
42, 2.62235951814e-06, -1.86745635446e-05, -1.97704866e-06, 943.054840335
43, 3.13909386466e-06, -2.00367295941e-05, -9.18284100066e-07, 886.54842817
44, 3.02084173194e-06, -2.19584159269e-05, -4.27797026758e-06, 887.525487965
45, -6.52694363875e-07, -2.25829581997e-05, 1.81435082134e-06, 973.811347691
46, 2.83154918588e-06, -1.81511634882e-05, -2.46598498611e-06, 1012.25060656
47, -2.28001781958e-06, -1.85518137877e-05, -8.96424185565e-07, 975.007959165
48, 4.55957202238e-06, -1.59195489684e-05, -1.6206366258e-06, 1036.55033336
49, -8.83254197439e-07, -1.70097650028e-05, 1.02540730505e-06, 885.529073195
50, -5.26990431087e-07, -1.67531865938e-05, -1.05053451264e-06, 814.817168913
51, 2.97058343254e-06, -1.90403427982e-05, -3.12813188402e-06, 990.504694451
52, 2.78850171977e-06, -1.77715360041e-05, -1.38769958004e-06, 846.324497867
53, -1.28906924474e-07, -2.00552478345e-05, -1.01814332634e-07, 908.106469093
54, -1.71328914905e-06, -2.07143532178e-05, 1.44732538636e-06, 943.990026737
55, 5.52867588602e-06, -1.91576285106e-05, -1.81724807639e-06, 958.407128301
56, 6.32151722383e-07, -1.74667401731e-05, -8.8499863643e-07, 891.30106391
57, 7.62264853847e-07, -1.91480571537e-05, -3.49266803713e-06, 956.565942648
58, 2.65166630151e-07, -1.92823365729e-05, 1.56289590573e-06, 834.592165962
59, -1.88222814644e-06, -1.59648574964e-05, -6.05474065034e-09, 830.875304325
60, 2.89473004358e-06, -1.86615704434e-05, -9.97022952502e-07, 940.495624721
61, -1.28890452841e-07, -1.65808233479e-05, -1.12020479924e-07, 902.691384002
62, 9.89528402047e-07, -1.840802678e-05, -3.59127007029e-06, 943.434327222
63, 2.19548765122e-06, -1.79429917823e-05, -2.18795905873e-07, 915.550648361
64, -2.1698733025e-06, -1.91609863829e-05, -2.53293111915e-06, 1018.33465145
65, 3.2404921701e-07, -1.77085590779e-05, -2.17970766147e-06, 918.309815388
66, 9.93255445818e-07, -1.76214898994e-05, -1.08539531454e-07, 921.221641113
67, 1.21738250896e-06, -1.87600284509e-05, -1.82812764101e-06, 1056.79601458
68, -1.34800370403e-06, -1.92834108582e-05, -1.35199137619e-06, 862.178523606
69, 3.87954443396e-06, -1.92072864097e-05, -1.8818861647e-06, 988.80954178
70, 3.37482938573e-06, -1.67006623505e-05, -4.41389304176e-06, 1019.41203878
71, 3.29711039732e-06, -1.94306699973e-05, -6.81995055057e-07, 894.27865865
72, 1.12251261613e-06, -1.72215444761e-05, -1.2100962244e-06, 890.271792506
73, 4.16179096822e-06, -1.9388034874e-05, -1.45170980996e-06, 1083.27584184
74, -8.65916006078e-09, -1.84409315553e-05, -5.53029496229e-06, 945.140976107
75, -1.17923344121e-06, -2.32340200073e-05, -6.61498951467e-07, 880.027283861
76, 5.76273029959e-08, -1.97112781994e-05, -4.69861020149e-07, 846.63665699
77, 1.63194692545e-06, -2.00929751963e-05, -2.0582742015e-06, 930.140126383
78, -7.69570807848e-07, -1.94088172427e-05, 1.63859145862e-06, 856.11900066
79, 5.77644864886e-06, -1.79374277039e-05, -3.14026774347e-06, 1027.57865904
80, 7.63648015748e-07, -1.79436965502e-05, -3.60087576027e-06, 876.050082829
81, -2.92736389338e-06, -2.03339441109e-05, 6.52433192355e-08, 832.398040803
82, 2.26542091971e-06, -2.0150051133e-05, -1.69446624868e-06, 878.409044146
83, 2.4644235679e-06, -1.76962833042e-05, -3.61953701595e-06, 1093.07489731
84, 2.33720275129e-06, -1.7573549007e-05, -2.66507033934e-06, 980.707596391
85, -3.91072543035e-06, -1.94135922795e-05, 2.08759098548e-06, 851.435560672
86, 3.33872665136e-06, -1.88910850612e-05, -1.1982509194e-06, 860.182412849
87, 2.74367518236e-06, -1.86679529023e-05, -3.14275225668e-06, 902.151214246
88, -4.23115491154e-06, -1.62370968114e-05, 7.52199907243e-07, 891.653820175
89, 3.6210580303e-06, -2.05085755665e-05, -1.23871062636e-06, 951.11333427
90, 2.77167705868e-06, -2.00026342305e-05, -1.68704951159e-06, 938.808362776
91, -2.08508411757e-07, -1.69465759344e-05, -2.57002896117e-06, 993.93547784
92, 1.45051960642e-06, -2.07593269994e-05, 9.80830149402e-07, 897.856476392
93, 3.4867497719e-06, -1.94535889478e-05, -1.34562393243e-06, 859.309576184
94, 4.12642496566e-06, -1.95657800054e-05, -3.94420151108e-06, 1018.81748871
95, -4.45835970975e-07, -1.85335533082e-05, -3.64484364992e-06, 863.88777348
96, 6.62874697449e-07, -1.982465248e-05, -3.36082847394e-07, 966.776741979
97, 3.20936623655e-08, -1.81620994427e-05, -3.75761424842e-07, 874.799198927
98, -3.21133695356e-06, -1.69723608637e-05, -5.71187351244e-08, 982.035576036
99, 2.10213987967e-06, -2.01316629566e-05, -9.36281559584e-08, 854.786334902
100, 1.44739539185e-06, -1.94084078977e-05, -1.4216922601e-06, 869.60610969
101, -1.07835442848e-06, -1.98373848623e-05, 6.72769460727e-07, 812.17070179
102, 3.39245032093e-06, -1.9132437796e-05, -1.56220479294e-06, 873.443282892
103, -2.22119328879e-06, -1.86322683804e-05, -9.37437320088e-07, 955.747520206
104, 2.45326677415e-06, -1.88717892607e-05, -2.13044389935e-06, 939.371996379
